tca03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus - Tribolium castaneum (red flour beetle)
tca03272	Virion - Hepatitis viruses - Tribolium castaneum (red flour beetle)
tca02010	ABC transporters - Tribolium castaneum (red flour beetle)
tca04013	MAPK signaling pathway - fly - Tribolium castaneum (red flour beetle)
tca04310	Wnt signaling pathway - Tribolium castaneum (red flour beetle)
tca04330	Notch signaling pathway - Tribolium castaneum (red flour beetle)
tca04341	Hedgehog signaling pathway - fly - Tribolium castaneum (red flour beetle)
tca04350	TGF-beta signaling pathway - Tribolium castaneum (red flour beetle)
tca04391	Hippo signaling pathway - fly - Tribolium castaneum (red flour beetle)
tca04392	Hippo signaling pathway - multiple species - Tribolium castaneum (red flour beetle)
tca04068	FoxO signaling pathway - Tribolium castaneum (red flour beetle)
tca04070	Phosphatidylinositol signaling system - Tribolium castaneum (red flour beetle)
tca04150	mTOR signaling pathway - Tribolium castaneum (red flour beetle)
tca04080	Neuroactive ligand-receptor interaction - Tribolium castaneum (red flour beetle)
tca04512	ECM-receptor interaction - Tribolium castaneum (red flour beetle)
tca04144	Endocytosis - Tribolium castaneum (red flour beetle)
tca04145	Phagosome - Tribolium castaneum (red flour beetle)
tca04142	Lysosome - Tribolium castaneum (red flour beetle)
tca04146	Peroxisome - Tribolium castaneum (red flour beetle)
tca04140	Autophagy - animal - Tribolium castaneum (red flour beetle)
tca04136	Autophagy - other - Tribolium castaneum (red flour beetle)
tca04137	Mitophagy - animal - Tribolium castaneum (red flour beetle)
tca04148	Efferocytosis - Tribolium castaneum (red flour beetle)
tca04214	Apoptosis - fly - Tribolium castaneum (red flour beetle)
tca04215	Apoptosis - multiple species - Tribolium castaneum (red flour beetle)
tca04814	Motor proteins - Tribolium castaneum (red flour beetle)
tca04820	Cytoskeleton in muscle cells - Tribolium castaneum (red flour beetle)
tca04620	Toll-like receptor signaling pathway - Tribolium castaneum (red flour beetle)
tca04624	Toll and Imd signaling pathway - Tribolium castaneum (red flour beetle)
tca04977	Vitamin digestion and absorption - Tribolium castaneum (red flour beetle)
tca04981	Folate transport and metabolism - Tribolium castaneum (red flour beetle)
tca04980	Cobalamin transport and metabolism - Tribolium castaneum (red flour beetle)
tca04745	Phototransduction - fly - Tribolium castaneum (red flour beetle)
tca04320	Dorso-ventral axis formation - Tribolium castaneum (red flour beetle)
tca04213	Longevity regulating pathway - multiple species - Tribolium castaneum (red flour beetle)
tca04711	Circadian rhythm - fly - Tribolium castaneum (red flour beetle)
tca05100	Bacterial invasion of epithelial cells - Tribolium castaneum (red flour beetle)
